"","6","7","8","9"
"trait1",-0.121013920398028,-0.117287700056102,-0.122823798849821,-0.122676705280805
"trait2",0.185203780267807,0.18064218702931,0.187419411269362,0.196558905243883
"trait3",-0.148388272736684,-0.14931928714437,-0.147936065738665,-0.145493238062927
"trait4",0.159224720297333,0.13948447539159,0.168812839251551,0.18167038048226
"trait5",-0.143871146207725,-0.132844046537933,-0.149227166047338,-0.151483583412116
"trait6",0.131658192574182,0.119980675496681,0.137330129440396,0.149894757211182
"trait7",-0.140357007928468,-0.122694527586883,-0.148935926951524,-0.152864376397581
"trait8",0.11125463741583,0.102816895059988,0.115352969417239,0.126665570275305
"trait9",-0.14955185364754,-0.127220776991841,-0.160398376594594,-0.162799103564389
"trait10",0.0635257087229515,0.0461248638789378,0.0719775476471868,0.0816978872820533
"trait11",-0.160888118807727,-0.133363959402949,-0.174256996232905,-0.171422867090294
"trait12",-0.0136518178424983,-0.0506706549559095,0.00432876018401569,0.00990040693338297
"trait13",-0.153578346119143,-0.118785994435155,-0.170477488365652,-0.162448550338927
"trait14",-0.0895893035190125,-0.140750616682934,-0.0647395228393934,-0.064480524984103
"trait15",-0.128178539681466,-0.0938301349131035,-0.144862050568957,-0.136815391361358
"trait16",-0.116296917407782,-0.167286482052189,-0.0915305574376409,-0.0930357116063854
"trait17",-0.0774405021680484,-0.0582175251078559,-0.0867773767401419,-0.0817569482769927
"trait18",-0.123182666910298,-0.168838608320086,-0.10100692393983,-0.100402627088521
"trait19",-0.00530200416398391,-0.0167162877066339,0.000242076413874652,0.00488505020902823
"trait20",-0.137088876333805,-0.172826174037112,-0.119730760306485,-0.115757388832883
"trait21",0.0800076719379487,0.0301345672327199,0.104231751366203,0.114984124284667
"trait22",-0.161911703198756,-0.182170065561953,-0.152071927193775,-0.15067171255608
"trait23",0.140139255647112,0.0716481651100002,0.173406356765138,0.18743031560062
"trait24",-0.183207769801382,-0.188298316706645,-0.180735218447397,-0.186439388843384
"trait25",0.187589335617194,0.12154794521729,0.219666582382862,0.231854003252615
"trait26",-0.190796505321501,-0.175208395825968,-0.19836787279076,-0.212157292586863
"trait27",0.204233907422079,0.142545305329372,0.234196942724252,0.244538238414255
"trait28",-0.170560754468564,-0.14579188206939,-0.182591349633877,-0.19831546124345
"trait29",0.21837233373044,0.16956501014531,0.242078748043217,0.247537908598908
"trait30",-0.115472033203243,-0.0803896870231409,-0.132512029919293,-0.148717512955434
"trait31",0.218743524859112,0.219419288284017,0.218415296909873,0.211152883183607
"trait32",-0.00124047019024891,0.0485983226818409,-0.0254478838709783,-0.0384049098998297
"trait33",0.173564490021692,0.208014089885362,0.156831827230767,0.140585868351952
"trait34",0.0858451183889274,0.143956326847597,0.0576196742804308,0.0497157720682898
"trait35",0.0801270079727068,0.126675610864258,0.057517686568239,0.0315434314283844
"trait36",0.159425863748239,0.216477225819538,0.13171520217075,0.130677981234731
"trait37",-0.012023069044606,0.0215006645617877,-0.0283060253677115,-0.0450968650757504
"trait38",0.202542720702025,0.244956589866425,0.181941698536459,0.184677662908913
"trait39",-0.0621847463048655,-0.0407704067472902,-0.0725859969471163,-0.081654194462897
"trait40",0.204318076079798,0.229193321163418,0.19223581418204,0.196923206956933
